epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,3766.92,1.20769,2.09,1.14581,1.59926,0.7821,0.65056,0.72332,0.44871,0.77921,0.65,0.71934,0.42489,1.34244,2.39495,1.09888,1.85094,0.0094852,0.0094852,0.0094852
54,3837.31,1.19117,2.04264,1.12346,1.59919,0.71617,0.72656,0.75658,0.45967,0.70619,0.73594,0.75467,0.43823,1.36331,2.41401,1.06659,1.9006,0.0094753,0.0094753,0.0094753
55,3907.46,1.20568,2.04312,1.13018,1.61199,0.74813,0.725,0.77475,0.48211,0.78937,0.69096,0.76952,0.45065,1.33993,2.41333,1.02918,1.87611,0.0094654,0.0094654,0.0094654
56,3978.92,1.205,2.04289,1.09667,1.60871,0.78573,0.68185,0.75987,0.468,0.77802,0.69552,0.75889,0.44387,1.33232,2.38092,1.04172,1.82349,0.0094555,0.0094555,0.0094555
57,4049.02,1.20464,2.0331,1.09994,1.59388,0.78115,0.66406,0.74961,0.4624,0.78666,0.66875,0.75264,0.43016,1.38342,2.4377,1.06878,1.90815,0.0094456,0.0094456,0.0094456
58,4119.3,1.20122,2.02875,1.1321,1.59914,0.75553,0.69219,0.77507,0.4759,0.75694,0.69581,0.77237,0.44986,1.36273,2.40046,1.03554,1.87516,0.0094357,0.0094357,0.0094357
59,4189.58,1.18292,2.02534,1.08809,1.58142,0.77418,0.69103,0.77019,0.47127,0.77418,0.69103,0.7655,0.44662,1.36929,2.39078,1.03655,1.87183,0.0094258,0.0094258,0.0094258
60,4259.7,1.20278,2.0173,1.1111,1.60394,0.72978,0.70471,0.7622,0.46506,0.74324,0.69375,0.75811,0.44313,1.36325,2.40826,1.06244,1.86845,0.0094159,0.0094159,0.0094159
61,4329.75,1.1858,2.053,1.11317,1.5842,0.74269,0.70781,0.77815,0.46646,0.77448,0.67612,0.76969,0.44393,1.39636,2.37612,1.01455,1.91408,0.009406,0.009406,0.009406
62,4399.88,1.19102,2.03085,1.08019,1.59052,0.73586,0.7125,0.75611,0.46789,0.73558,0.7125,0.75498,0.44437,1.35158,2.33675,1.01929,1.85332,0.0093961,0.0093961,0.0093961
63,4470.09,1.1828,2.01715,1.06269,1.58651,0.72593,0.71719,0.74912,0.45966,0.74046,0.71562,0.75293,0.43593,1.3508,2.40651,1.0496,1.86114,0.0093862,0.0093862,0.0093862
64,4540.27,1.15545,1.95428,1.05583,1.54247,0.75864,0.6875,0.76357,0.47126,0.73772,0.70625,0.75612,0.45067,1.32417,2.36458,1.02723,1.81987,0.0093763,0.0093763,0.0093763
65,4610.35,1.17885,2.01887,1.06005,1.57777,0.75417,0.7334,0.78497,0.49117,0.75656,0.70625,0.77588,0.45985,1.34836,2.35704,0.96163,1.86137,0.0093664,0.0093664,0.0093664
66,4681.19,1.15391,1.98883,1.06948,1.56508,0.75963,0.67155,0.76101,0.47615,0.74043,0.7,0.76775,0.45141,1.34874,2.34879,1.03522,1.8741,0.0093565,0.0093565,0.0093565
67,4751.42,1.16713,2.01428,1.07229,1.57464,0.73429,0.72813,0.78851,0.49483,0.72553,0.74219,0.77979,0.46812,1.32027,2.42744,0.98784,1.86128,0.0093466,0.0093466,0.0093466
68,4822.35,1.13281,1.9701,1.04408,1.55216,0.74203,0.72188,0.77938,0.47352,0.74133,0.72188,0.77215,0.44996,1.36554,2.43725,1.02668,1.89725,0.0093367,0.0093367,0.0093367
69,4892.46,1.15465,1.97108,1.05453,1.55119,0.78311,0.69956,0.77147,0.47633,0.7858,0.6993,0.77051,0.45643,1.33626,2.34759,0.99898,1.83496,0.0093268,0.0093268,0.0093268
70,4962.56,1.15353,1.9878,1.05011,1.54348,0.75959,0.71585,0.78266,0.48856,0.78551,0.70955,0.77378,0.46212,1.34538,2.32984,1.00924,1.84613,0.0093169,0.0093169,0.0093169
71,5032.79,1.13364,1.97051,1.0427,1.51924,0.75273,0.725,0.77159,0.47552,0.7539,0.725,0.76886,0.45363,1.36448,2.38689,1.00192,1.86288,0.009307,0.009307,0.009307
72,5103.26,1.12906,1.9372,1.0129,1.53665,0.73217,0.72031,0.77803,0.45714,0.73444,0.72188,0.76565,0.43156,1.4072,2.40689,1.02845,1.93038,0.0092971,0.0092971,0.0092971
73,5173.37,1.14496,1.96893,1.03331,1.55476,0.72535,0.725,0.77245,0.47773,0.7258,0.71965,0.76371,0.45338,1.33204,2.3489,1.00469,1.86555,0.0092872,0.0092872,0.0092872
74,5243.73,1.12713,1.94869,1.02767,1.54303,0.79536,0.68906,0.76579,0.46994,0.78032,0.69932,0.76304,0.4448,1.3754,2.44619,1.0081,1.90198,0.0092773,0.0092773,0.0092773
75,5313.93,1.13891,1.9695,1.02775,1.55239,0.74186,0.72344,0.76558,0.47016,0.74012,0.72534,0.75799,0.44259,1.383,2.4614,1.01709,1.92844,0.0092674,0.0092674,0.0092674
76,5384.27,1.11749,1.94551,1.02618,1.53568,0.74945,0.7375,0.79555,0.49126,0.74627,0.73438,0.78958,0.46815,1.3516,2.36206,0.97484,1.87715,0.0092575,0.0092575,0.0092575
77,5454.66,1.11992,1.93604,1.00957,1.5379,0.72874,0.74375,0.77274,0.47498,0.73119,0.73906,0.76401,0.45082,1.34074,2.38159,0.99917,1.86412,0.0092476,0.0092476,0.0092476
78,5524.84,1.10868,1.92273,1.01019,1.50657,0.75061,0.72031,0.76261,0.47556,0.75604,0.725,0.76231,0.45237,1.32989,2.35876,1.01207,1.83541,0.0092377,0.0092377,0.0092377
79,5595.11,1.10053,1.92452,0.99776,1.51244,0.75093,0.71406,0.7709,0.47966,0.75671,0.72188,0.77017,0.45258,1.33956,2.3858,1.00535,1.86872,0.0092278,0.0092278,0.0092278
80,5665.49,1.10871,1.91104,1.00505,1.53222,0.76486,0.70781,0.76654,0.47068,0.76564,0.71094,0.76476,0.44897,1.33459,2.37473,1.00984,1.90538,0.0092179,0.0092179,0.0092179
81,5735.75,1.09526,1.90941,0.99268,1.51771,0.76799,0.70858,0.78711,0.48898,0.78036,0.70937,0.78597,0.46644,1.35351,2.33397,0.98692,1.87716,0.009208,0.009208,0.009208
82,5806.04,1.0992,1.9175,1.00077,1.50935,0.75296,0.70312,0.77374,0.47687,0.74627,0.69852,0.76441,0.45275,1.36089,2.36654,0.98388,1.88839,0.0091981,0.0091981,0.0091981
83,5876.36,1.0966,1.89066,0.97896,1.50671,0.76056,0.71562,0.77465,0.48233,0.76056,0.71562,0.77165,0.45852,1.38033,2.4645,0.99816,1.90148,0.0091882,0.0091882,0.0091882
84,5946.66,1.10686,1.93595,0.97876,1.5096,0.74496,0.70937,0.77923,0.48688,0.76368,0.70691,0.77602,0.45919,1.33985,2.38394,0.99669,1.8602,0.0091783,0.0091783,0.0091783
85,6016.79,1.08208,1.88728,0.96862,1.49942,0.75897,0.69688,0.77958,0.47108,0.75332,0.69667,0.7688,0.44186,1.42334,2.49734,1.01106,1.94634,0.0091684,0.0091684,0.0091684
86,6087.02,1.07547,1.91022,0.97731,1.49074,0.7936,0.67188,0.77857,0.48265,0.78905,0.66719,0.77401,0.45893,1.34054,2.36298,0.99381,1.88491,0.0091585,0.0091585,0.0091585
87,6157.27,1.06981,1.87192,0.96027,1.48906,0.76382,0.71094,0.77166,0.48388,0.7754,0.71745,0.77684,0.46513,1.34753,2.43454,0.98707,1.88936,0.0091486,0.0091486,0.0091486
88,6227.49,1.05514,1.82863,0.94902,1.45923,0.74967,0.71875,0.7661,0.46978,0.74636,0.71875,0.75902,0.45485,1.38025,2.4179,0.99814,1.91836,0.0091387,0.0091387,0.0091387
89,6297.68,1.06985,1.85848,0.96389,1.47228,0.73784,0.7375,0.77901,0.47856,0.74185,0.74219,0.77493,0.45347,1.35893,2.44505,0.99122,1.91883,0.0091288,0.0091288,0.0091288
90,6368.03,1.07658,1.87858,0.96229,1.48295,0.76587,0.71555,0.77792,0.48296,0.76754,0.71711,0.77484,0.45904,1.38123,2.38841,0.97267,1.90625,0.0091189,0.0091189,0.0091189
91,6438.24,1.0527,1.83056,0.93692,1.4762,0.76423,0.72933,0.77711,0.47927,0.75605,0.72152,0.76381,0.45178,1.37633,2.43563,0.96698,1.92142,0.009109,0.009109,0.009109
